,accuracy,precision,recall,f1,loss,lr,iter,source
0,0.08474712073802948,0.09410218894481659,0.08474712073802948,0.05625586211681366,2.3023266792297363,3.600000000000006e-06,0,train
1,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3027491569519043,3.600000000000006e-06,0,test
2,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.302746534347534,7.367762949351034e-06,30,test
3,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.305270195007324,1.8013827832473434e-05,60,test
4,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3075292110443115,3.368116461126465e-05,90,test
5,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.309265613555908,5.16368653676629e-05,120,test
6,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3112785816192627,6.874885491465007e-05,150,test
7,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.313964366912842,8.203222953904004e-05,180,test
8,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3173537254333496,8.916992411341956e-05,210,test
9,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3219380378723145,8.998613729003519e-05,240,test
10,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.328852891921997,8.988545877896647e-05,270,test
11,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.334359884262085,8.968756874898394e-05,300,test
12,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.344438314437866,8.939289578582699e-05,330,test
13,0.12020000070333481,0.029931513592600822,0.12020000070333481,0.03963102027773857,2.356914758682251,8.900207808551685e-05,360,test
14,0.16979999840259552,0.03634469956159592,0.16979999840259552,0.058829329907894135,2.367891311645508,8.851596207216633e-05,390,test
15,0.12210001051425934,0.02832314744591713,0.12210001051425934,0.03980717062950134,2.37931489944458,8.793560056481342e-05,420,test
16,0.17909999191761017,0.03639046847820282,0.17909999191761017,0.06038626283407211,2.3849992752075195,8.726225049724987e-05,450,test
17,0.15119999647140503,0.03448362648487091,0.15119999647140503,0.05339987576007843,2.3973400592803955,8.649737019578243e-05,480,test
18,0.18050000071525574,0.0727035254240036,0.18050000071525574,0.06353574991226196,2.3476881980895996,8.564261622082279e-05,510,test
19,0.22699999809265137,0.17955324053764343,0.22699999809265137,0.11319498717784882,2.2655913829803467,8.469983977914661e-05,540,test
20,0.22859999537467957,0.2999510169029236,0.22859999537467957,0.12347596883773804,2.1390485763549805,8.367108271459187e-05,570,test
21,0.37779998779296875,0.44690293073654175,0.37779998779296875,0.2873460054397583,1.8642305135726929,8.255857308587984e-05,600,test
22,0.48169997334480286,0.572509765625,0.48169997334480286,0.39256903529167175,1.553540825843811,8.136472034113593e-05,630,test
23,0.5482000112533569,0.6110369563102722,0.5482000112533569,0.4863051474094391,1.2726746797561646,8.009211009956165e-05,660,test
24,0.6339000463485718,0.7477858662605286,0.6339000463485718,0.5944475531578064,0.9741050601005554,7.874349855155915e-05,690,test
25,0.7131999731063843,0.7661792635917664,0.7131999731063843,0.6986268758773804,0.7677608728408813,7.73218064894366e-05,720,test
26,0.7968999743461609,0.8094304800033569,0.7968999743461609,0.7930915355682373,0.5605884194374084,7.583011298162232e-05,750,test
27,0.807699978351593,0.8181353807449341,0.807699978351593,0.8038915395736694,0.5018803477287292,7.427164870408834e-05,780,test
28,0.8327000141143799,0.8357157707214355,0.8327000141143799,0.8315355181694031,0.44606029987335205,7.264978894342559e-05,810,test
29,0.8265000581741333,0.8317950367927551,0.8265000581741333,0.8238893747329712,0.44216790795326233,7.09680462867247e-05,840,test
30,0.826900064945221,0.8319478034973145,0.826900064945221,0.823845386505127,0.44408681988716125,6.923006301409462e-05,870,test
31,0.8208999633789062,0.8284131288528442,0.8208999633789062,0.8191561698913574,0.45831137895584106,6.743960321029483e-05,900,test
32,0.8438000679016113,0.8450106978416443,0.8438000679016113,0.8432989716529846,0.4068262577056885,6.560054461256609e-05,930,test
33,0.8422000408172607,0.8441553711891174,0.8422000408172607,0.8415695428848267,0.4136057496070862,6.371687021231494e-05,960,test
34,0.831000030040741,0.835809588432312,0.831000030040741,0.8292950987815857,0.43432265520095825,6.179265962884126e-05,990,test
35,0.8451999425888062,0.8441343307495117,0.8451999425888062,0.8422777652740479,0.40732553601264954,5.9832080273791316e-05,1020,test
36,0.8448000550270081,0.8433272838592529,0.8448000550270081,0.8433376550674438,0.4083128571510315,5.783937832547213e-05,1050,test
37,0.8467000126838684,0.8457574844360352,0.8467000126838684,0.8425059914588928,0.40232494473457336,5.5818869532574754e-05,1080,test
38,0.8536999821662903,0.8530421257019043,0.8536999821662903,0.8519456386566162,0.3830731213092804,5.3774929867223704e-05,1110,test
39,0.8452000021934509,0.8464055061340332,0.8452000021934509,0.8444174528121948,0.39775580167770386,5.171198604759564e-05,1140,test
40,0.8517999649047852,0.8519819974899292,0.8517999649047852,0.8506836295127869,0.3827187418937683,4.963450595063365e-05,1170,test
41,0.8515000343322754,0.8560689687728882,0.8515000343322754,0.8492886424064636,0.3934890329837799,4.754698893562062e-05,1200,test
42,0.8571000099182129,0.8558342456817627,0.8571000099182129,0.8549546599388123,0.3704949915409088,4.545395609956893e-05,1230,test
43,0.8611999750137329,0.8600472807884216,0.8611999750137329,0.859595537185669,0.3718726634979248,4.335994048553109e-05,1260,test
44,0.8628000020980835,0.8615620136260986,0.8628000020980835,0.8603373765945435,0.3631666898727417,4.1269477265037896e-05,1290,test
45,0.8648000359535217,0.8635962009429932,0.8648000359535217,0.8637339472770691,0.3624493479728699,3.9187093915926755e-05,1320,test
46,0.8615000247955322,0.8607946634292603,0.8615000247955322,0.8608329892158508,0.3631136417388916,3.7117300416832866e-05,1350,test
47,0.8580999970436096,0.8586795926094055,0.8580999970436096,0.8553431034088135,0.3800734281539917,3.506457947957977e-05,1380,test
48,0.8642999529838562,0.86304771900177,0.8642999529838562,0.8628593683242798,0.364109605550766,3.303337684062367e-05,1410,test
49,0.8673000335693359,0.8677183389663696,0.8673000335693359,0.8673256039619446,0.35652679204940796,3.102809163257837e-05,1440,test
50,0.8672000169754028,0.8664678335189819,0.8672000169754028,0.8666315674781799,0.34769749641418457,2.9053066856673512e-05,1470,test
51,0.8821701407432556,0.881220281124115,0.8821701407432556,0.8810563087463379,0.29526230692863464,2.711257997678099e-05,1500,train
52,0.868899941444397,0.8690229058265686,0.868899941444397,0.8685837984085083,0.3527306318283081,2.711257997678099e-05,1500,test
53,0.8702999353408813,0.8693945407867432,0.8702999353408813,0.8695043325424194,0.34277400374412537,2.5210833655380785e-05,1530,test
54,0.8664000034332275,0.8681697845458984,0.8664000034332275,0.8665310144424438,0.35021543502807617,2.3351946651529772e-05,1560,test
55,0.8730000257492065,0.8727576732635498,0.8730000257492065,0.8726754784584045,0.33727937936782837,2.1539944900546833e-05,1590,test
56,0.8760999441146851,0.8769408464431763,0.8760999441146851,0.876221776008606,0.33125418424606323,1.977875279473337e-05,1620,test
57,0.8763999938964844,0.8758291602134705,0.8763999938964844,0.8760559558868408,0.33106034994125366,1.807218468401354e-05,1650,test
58,0.8740999698638916,0.8739288449287415,0.8740999698638916,0.8738077878952026,0.33395466208457947,1.6423936614901612e-05,1680,test
59,0.8743000030517578,0.8733648061752319,0.8743000030517578,0.8730062246322632,0.3296138048171997,1.4837578325688254e-05,1710,test
60,0.876800000667572,0.8770188689231873,0.876800000667572,0.8767801523208618,0.3281124234199524,1.3316545515182318e-05,1740,test
61,0.8809000253677368,0.8802638649940491,0.8809000253677368,0.8804112672805786,0.3243453800678253,1.1864132401752256e-05,1770,test
62,0.8762999773025513,0.8751864433288574,0.8762999773025513,0.8755555152893066,0.3286208510398865,1.048348458878272e-05,1800,test
63,0.8773999810218811,0.8760497570037842,0.8773999810218811,0.8763002157211304,0.32449105381965637,9.177592251997997e-06,1830,test
64,0.8779000043869019,0.8781871795654297,0.8779000043869019,0.8779314756393433,0.3254797160625458,7.94928366340732e-06,1860,test
65,0.8783999681472778,0.8780765533447266,0.8783999681472778,0.8779019713401794,0.32484227418899536,6.801219065897441e-06,1890,test
66,0.8773000240325928,0.8769634366035461,0.8773000240325928,0.8770201206207275,0.3219732940196991,5.7358849117389325e-06,1920,test
67,0.878000020980835,0.8781527876853943,0.878000020980835,0.8780201077461243,0.3203026056289673,4.755588477484222e-06,1950,test
68,0.8806999921798706,0.8805297613143921,0.8806999921798706,0.8804692029953003,0.3136650025844574,3.862452866920411e-06,1980,test
69,0.878000020980835,0.8779768943786621,0.878000020980835,0.8778753876686096,0.3193984031677246,3.058412412899166e-06,2010,test
70,0.8809999823570251,0.8801625967025757,0.8809999823570251,0.8804170489311218,0.31916382908821106,2.345208488002544e-06,2040,test
71,0.8770000338554382,0.8763525485992432,0.8770000338554382,0.8765076398849487,0.3185274004936218,1.7243857331177198e-06,2070,test
72,0.8805000185966492,0.8800532817840576,0.8805000185966492,0.8801929950714111,0.3134104311466217,1.197288712088799e-06,2100,test
73,0.8812000155448914,0.8803561925888062,0.8812000155448914,0.8806133270263672,0.31299301981925964,7.650589996909259e-07,2130,test
74,0.8804000020027161,0.8794289827346802,0.8804000020027161,0.8797029256820679,0.3212805986404419,4.2863270923351584e-07,2160,test
75,0.8795999884605408,0.8793809413909912,0.8795999884605408,0.8793408274650574,0.3121604025363922,1.8873846514727846e-07,2190,test
76,0.8815999627113342,0.8807316422462463,0.8815999627113342,0.8810329437255859,0.3138711154460907,4.5895824945969585e-08,2220,test
